segment_id,split_label,anomaly_label,domain_shift_op,domain_shift_env,imp23absu_mic,ism330dhcx_acc,ism330dhcx_gyro,split
20240423_16_21_53_segment_0,Normal_Source_Test,normal,spd3000,BckgD,imp23absu_mic_20240423_16_21_53_DataLog_0.parquet,ism330dhcx_acc_20240423_16_21_53_DataLog_0.parquet,ism330dhcx_gyro_20240423_16_21_53_DataLog_0.parquet,train
20240423_16_51_03_segment_0,Anomaly_Target_Test,belt,spd1100,BckgG,imp23absu_mic_20240423_16_51_03_DataLog_0.parquet,ism330dhcx_acc_20240423_16_51_03_DataLog_0.parquet,ism330dhcx_gyro_20240423_16_51_03_DataLog_0.parquet,train
20240423_10_35_44_segment_0,Normal_Target_Test,normal,spd1000,BckgE,imp23absu_mic_20240423_10_35_44_DataLog_0.parquet,ism330dhcx_acc_20240423_10_35_44_DataLog_0.parquet,ism330dhcx_gyro_20240423_10_35_44_DataLog_0.parquet,train
20240423_15_16_51_segment_0,Normal_Source_Test,normal,spd2000,BckgF,imp23absu_mic_20240423_15_16_51_DataLog_0.parquet,ism330dhcx_acc_20240423_15_16_51_DataLog_0.parquet,ism330dhcx_gyro_20240423_15_16_51_DataLog_0.parquet,train
20240423_17_06_32_segment_0,Anomaly_Source_Test,belt,spd1600,BckgA,imp23absu_mic_20240423_17_06_32_DataLog_0.parquet,ism330dhcx_acc_20240423_17_06_32_DataLog_0.parquet,ism330dhcx_gyro_20240423_17_06_32_DataLog_0.parquet,train
20240423_10_41_29_segment_0,Normal_Target_Test,normal,spd1000,BckgG,imp23absu_mic_20240423_10_41_29_DataLog_0.parquet,ism330dhcx_acc_20240423_10_41_29_DataLog_0.parquet,ism330dhcx_gyro_20240423_10_41_29_DataLog_0.parquet,train
20240423_16_55_21_segment_0,Anomaly_Target_Test,belt,spd1200,BckgG,imp23absu_mic_20240423_16_55_21_DataLog_0.parquet,ism330dhcx_acc_20240423_16_55_21_DataLog_0.parquet,ism330dhcx_gyro_20240423_16_55_21_DataLog_0.parquet,train
20240423_12_03_14_segment_0,Normal_Target_Test,normal,spd1300,BckgE,imp23absu_mic_20240423_12_03_14_DataLog_0.parquet,ism330dhcx_acc_20240423_12_03_14_DataLog_0.parquet,ism330dhcx_gyro_20240423_12_03_14_DataLog_0.parquet,train
20240423_10_49_27_segment_0,Normal_Target_Test,normal,spd1100,BckgE,imp23absu_mic_20240423_10_49_27_DataLog_0.parquet,ism330dhcx_acc_20240423_10_49_27_DataLog_0.parquet,ism330dhcx_gyro_20240423_10_49_27_DataLog_0.parquet,train
20240423_17_38_40_segment_0,Anomaly_Target_Test,magnetic,spd1000,BckgB,imp23absu_mic_20240423_17_38_40_DataLog_0.parquet,ism330dhcx_acc_20240423_17_38_40_DataLog_0.parquet,ism330dhcx_gyro_20240423_17_38_40_DataLog_0.parquet,train
20240423_17_39_10_segment_0,Anomaly_Target_Test,magnetic,spd1000,BckgB,imp23absu_mic_20240423_17_39_10_DataLog_0.parquet,ism330dhcx_acc_20240423_17_39_10_DataLog_0.parquet,ism330dhcx_gyro_20240423_17_39_10_DataLog_0.parquet,train
20240423_14_23_48_segment_0,Normal_Source_Test,normal,spd1800,BckgD,imp23absu_mic_20240423_14_23_48_DataLog_0.parquet,ism330dhcx_acc_20240423_14_23_48_DataLog_0.parquet,ism330dhcx_gyro_20240423_14_23_48_DataLog_0.parquet,train
20240423_15_45_37_segment_0,Normal_Source_Test,normal,spd2400,BckgD,imp23absu_mic_20240423_15_45_37_DataLog_0.parquet,ism330dhcx_acc_20240423_15_45_37_DataLog_0.parquet,ism330dhcx_gyro_20240423_15_45_37_DataLog_0.parquet,train
20240423_10_29_23_segment_0,Normal_Target_Test,normal,spd1000,BckgE,imp23absu_mic_20240423_10_29_23_DataLog_0.parquet,ism330dhcx_acc_20240423_10_29_23_DataLog_0.parquet,ism330dhcx_gyro_20240423_10_29_23_DataLog_0.parquet,train
20240423_16_03_57_segment_0,Normal_Source_Test,normal,spd2800,BckgD,imp23absu_mic_20240423_16_03_57_DataLog_0.parquet,ism330dhcx_acc_20240423_16_03_57_DataLog_0.parquet,ism330dhcx_gyro_20240423_16_03_57_DataLog_0.parquet,train
20240423_17_16_25_segment_0,Anomaly_Source_Test,belt,spd1900,BckgA,imp23absu_mic_20240423_17_16_25_DataLog_0.parquet,ism330dhcx_acc_20240423_17_16_25_DataLog_0.parquet,ism330dhcx_gyro_20240423_17_16_25_DataLog_0.parquet,train
20240423_13_39_07_segment_0,Normal_Source_Test,normal,spd1700,BckgF,imp23absu_mic_20240423_13_39_07_DataLog_0.parquet,ism330dhcx_acc_20240423_13_39_07_DataLog_0.parquet,ism330dhcx_gyro_20240423_13_39_07_DataLog_0.parquet,train
20240423_16_54_03_segment_0,Anomaly_Target_Test,belt,spd1200,BckgE,imp23absu_mic_20240423_16_54_03_DataLog_0.parquet,ism330dhcx_acc_20240423_16_54_03_DataLog_0.parquet,ism330dhcx_gyro_20240423_16_54_03_DataLog_0.parquet,train
20240423_12_58_28_segment_0,Normal_Source_Test,normal,spd1500,BckgC,imp23absu_mic_20240423_12_58_28_DataLog_0.parquet,ism330dhcx_acc_20240423_12_58_28_DataLog_0.parquet,ism330dhcx_gyro_20240423_12_58_28_DataLog_0.parquet,train
20240423_12_23_34_segment_0,Normal_Target_Test,normal,spd1400,BckgE,imp23absu_mic_20240423_12_23_34_DataLog_0.parquet,ism330dhcx_acc_20240423_12_23_34_DataLog_0.parquet,ism330dhcx_gyro_20240423_12_23_34_DataLog_0.parquet,train
20240423_17_30_09_segment_0,Anomaly_Source_Test,belt,spd3000,BckgA,imp23absu_mic_20240423_17_30_09_DataLog_0.parquet,ism330dhcx_acc_20240423_17_30_09_DataLog_0.parquet,ism330dhcx_gyro_20240423_17_30_09_DataLog_0.parquet,train
20240423_17_09_13_segment_0,Anomaly_Source_Test,belt,spd1700,BckgA,imp23absu_mic_20240423_17_09_13_DataLog_0.parquet,ism330dhcx_acc_20240423_17_09_13_DataLog_0.parquet,ism330dhcx_gyro_20240423_17_09_13_DataLog_0.parquet,train
20240423_18_17_47_segment_0,Anomaly_Source_Test,magnetic,spd2800,BckgA,imp23absu_mic_20240423_18_17_47_DataLog_0.parquet,ism330dhcx_acc_20240423_18_17_47_DataLog_0.parquet,ism330dhcx_gyro_20240423_18_17_47_DataLog_0.parquet,train
20240423_16_53_00_segment_0,Anomaly_Target_Test,belt,spd1100,BckgG,imp23absu_mic_20240423_16_53_00_DataLog_0.parquet,ism330dhcx_acc_20240423_16_53_00_DataLog_0.parquet,ism330dhcx_gyro_20240423_16_53_00_DataLog_0.parquet,train
20240423_12_44_53_segment_0,Normal_Source_Test,normal,spd1500,BckgD,imp23absu_mic_20240423_12_44_53_DataLog_0.parquet,ism330dhcx_acc_20240423_12_44_53_DataLog_0.parquet,ism330dhcx_gyro_20240423_12_44_53_DataLog_0.parquet,train
20240423_11_40_46_segment_0,Normal_Target_Test,normal,spd1300,BckgG,imp23absu_mic_20240423_11_40_46_DataLog_0.parquet,ism330dhcx_acc_20240423_11_40_46_DataLog_0.parquet,ism330dhcx_gyro_20240423_11_40_46_DataLog_0.parquet,train
20240423_16_36_01_segment_0,Normal_Source_Test,normal,spd3000,BckgC,imp23absu_mic_20240423_16_36_01_DataLog_0.parquet,ism330dhcx_acc_20240423_16_36_01_DataLog_0.parquet,ism330dhcx_gyro_20240423_16_36_01_DataLog_0.parquet,train
20240423_11_28_42_segment_0,Normal_Target_Test,normal,spd1200,BckgE,imp23absu_mic_20240423_11_28_42_DataLog_0.parquet,ism330dhcx_acc_20240423_11_28_42_DataLog_0.parquet,ism330dhcx_gyro_20240423_11_28_42_DataLog_0.parquet,train
20240423_15_59_07_segment_0,Normal_Source_Test,normal,spd2800,BckgD,imp23absu_mic_20240423_15_59_07_DataLog_0.parquet,ism330dhcx_acc_20240423_15_59_07_DataLog_0.parquet,ism330dhcx_gyro_20240423_15_59_07_DataLog_0.parquet,train
20240423_11_05_16_segment_0,Normal_Target_Test,normal,spd1100,BckgB,imp23absu_mic_20240423_11_05_16_DataLog_0.parquet,ism330dhcx_acc_20240423_11_05_16_DataLog_0.parquet,ism330dhcx_gyro_20240423_11_05_16_DataLog_0.parquet,train
20240423_17_18_43_segment_0,Anomaly_Source_Test,belt,spd2000,BckgA,imp23absu_mic_20240423_17_18_43_DataLog_0.parquet,ism330dhcx_acc_20240423_17_18_43_DataLog_0.parquet,ism330dhcx_gyro_20240423_17_18_43_DataLog_0.parquet,train
20240423_17_49_55_segment_0,Anomaly_Target_Test,magnetic,spd1300,BckgE,imp23absu_mic_20240423_17_49_55_DataLog_0.parquet,ism330dhcx_acc_20240423_17_49_55_DataLog_0.parquet,ism330dhcx_gyro_20240423_17_49_55_DataLog_0.parquet,train
20240423_12_23_44_segment_0,Normal_Target_Test,normal,spd1400,BckgG,imp23absu_mic_20240423_12_23_44_DataLog_0.parquet,ism330dhcx_acc_20240423_12_23_44_DataLog_0.parquet,ism330dhcx_gyro_20240423_12_23_44_DataLog_0.parquet,train
20240423_11_27_22_segment_0,Normal_Target_Test,normal,spd1200,BckgB,imp23absu_mic_20240423_11_27_22_DataLog_0.parquet,ism330dhcx_acc_20240423_11_27_22_DataLog_0.parquet,ism330dhcx_gyro_20240423_11_27_22_DataLog_0.parquet,train
20240423_17_42_26_segment_0,Anomaly_Target_Test,magnetic,spd1100,BckgG,imp23absu_mic_20240423_17_42_26_DataLog_0.parquet,ism330dhcx_acc_20240423_17_42_26_DataLog_0.parquet,ism330dhcx_gyro_20240423_17_42_26_DataLog_0.parquet,train
20240423_14_13_22_segment_0,Normal_Source_Test,normal,spd1800,BckgA,imp23absu_mic_20240423_14_13_22_DataLog_0.parquet,ism330dhcx_acc_20240423_14_13_22_DataLog_0.parquet,ism330dhcx_gyro_20240423_14_13_22_DataLog_0.parquet,train
20240423_18_06_18_segment_0,Anomaly_Source_Test,magnetic,spd1800,BckgA,imp23absu_mic_20240423_18_06_18_DataLog_0.parquet,ism330dhcx_acc_20240423_18_06_18_DataLog_0.parquet,ism330dhcx_gyro_20240423_18_06_18_DataLog_0.parquet,train
20240423_13_45_44_segment_0,Normal_Source_Test,normal,spd1700,BckgD,imp23absu_mic_20240423_13_45_44_DataLog_0.parquet,ism330dhcx_acc_20240423_13_45_44_DataLog_0.parquet,ism330dhcx_gyro_20240423_13_45_44_DataLog_0.parquet,train
20240423_18_21_41_segment_0,Anomaly_Source_Test,magnetic,spd3000,BckgD,imp23absu_mic_20240423_18_21_41_DataLog_0.parquet,ism330dhcx_acc_20240423_18_21_41_DataLog_0.parquet,ism330dhcx_gyro_20240423_18_21_41_DataLog_0.parquet,train
20240423_18_14_52_segment_0,Anomaly_Source_Test,magnetic,spd2400,BckgD,imp23absu_mic_20240423_18_14_52_DataLog_0.parquet,ism330dhcx_acc_20240423_18_14_52_DataLog_0.parquet,ism330dhcx_gyro_20240423_18_14_52_DataLog_0.parquet,train
20240423_18_08_06_segment_0,Anomaly_Source_Test,magnetic,spd1900,BckgA,imp23absu_mic_20240423_18_08_06_DataLog_0.parquet,ism330dhcx_acc_20240423_18_08_06_DataLog_0.parquet,ism330dhcx_gyro_20240423_18_08_06_DataLog_0.parquet,train
20240423_16_57_13_segment_0,Anomaly_Target_Test,belt,spd1300,BckgG,imp23absu_mic_20240423_16_57_13_DataLog_0.parquet,ism330dhcx_acc_20240423_16_57_13_DataLog_0.parquet,ism330dhcx_gyro_20240423_16_57_13_DataLog_0.parquet,train
20240423_11_14_49_segment_0,Normal_Target_Test,normal,spd1200,BckgG,imp23absu_mic_20240423_11_14_49_DataLog_0.parquet,ism330dhcx_acc_20240423_11_14_49_DataLog_0.parquet,ism330dhcx_gyro_20240423_11_14_49_DataLog_0.parquet,train
20240423_17_01_21_segment_0,Anomaly_Target_Test,belt,spd1400,BckgB,imp23absu_mic_20240423_17_01_21_DataLog_0.parquet,ism330dhcx_acc_20240423_17_01_21_DataLog_0.parquet,ism330dhcx_gyro_20240423_17_01_21_DataLog_0.parquet,train
20240423_11_19_46_segment_0,Normal_Target_Test,normal,spd1200,BckgE,imp23absu_mic_20240423_11_19_46_DataLog_0.parquet,ism330dhcx_acc_20240423_11_19_46_DataLog_0.parquet,ism330dhcx_gyro_20240423_11_19_46_DataLog_0.parquet,train
20240423_13_14_03_segment_0,Normal_Source_Test,normal,spd1600,BckgC,imp23absu_mic_20240423_13_14_03_DataLog_0.parquet,ism330dhcx_acc_20240423_13_14_03_DataLog_0.parquet,ism330dhcx_gyro_20240423_13_14_03_DataLog_0.parquet,train
20240423_18_01_06_segment_0,Anomaly_Source_Test,magnetic,spd1600,BckgD,imp23absu_mic_20240423_18_01_06_DataLog_0.parquet,ism330dhcx_acc_20240423_18_01_06_DataLog_0.parquet,ism330dhcx_gyro_20240423_18_01_06_DataLog_0.parquet,train
20240423_11_58_56_segment_0,Normal_Target_Test,normal,spd1300,BckgG,imp23absu_mic_20240423_11_58_56_DataLog_0.parquet,ism330dhcx_acc_20240423_11_58_56_DataLog_0.parquet,ism330dhcx_gyro_20240423_11_58_56_DataLog_0.parquet,train
20240423_12_03_34_segment_0,Normal_Target_Test,normal,spd1300,BckgE,imp23absu_mic_20240423_12_03_34_DataLog_0.parquet,ism330dhcx_acc_20240423_12_03_34_DataLog_0.parquet,ism330dhcx_gyro_20240423_12_03_34_DataLog_0.parquet,train
20240423_17_41_18_segment_0,Anomaly_Target_Test,magnetic,spd1100,BckgB,imp23absu_mic_20240423_17_41_18_DataLog_0.parquet,ism330dhcx_acc_20240423_17_41_18_DataLog_0.parquet,ism330dhcx_gyro_20240423_17_41_18_DataLog_0.parquet,train
20240423_17_25_35_segment_0,Anomaly_Source_Test,belt,spd2800,BckgA,imp23absu_mic_20240423_17_25_35_DataLog_0.parquet,ism330dhcx_acc_20240423_17_25_35_DataLog_0.parquet,ism330dhcx_gyro_20240423_17_25_35_DataLog_0.parquet,train
20240423_16_48_56_segment_0,Anomaly_Target_Test,belt,spd1000,BckgB,imp23absu_mic_20240423_16_48_56_DataLog_0.parquet,ism330dhcx_acc_20240423_16_48_56_DataLog_0.parquet,ism330dhcx_gyro_20240423_16_48_56_DataLog_0.parquet,train
20240423_15_25_42_segment_0,Normal_Source_Test,normal,spd2400,BckgA,imp23absu_mic_20240423_15_25_42_DataLog_0.parquet,ism330dhcx_acc_20240423_15_25_42_DataLog_0.parquet,ism330dhcx_gyro_20240423_15_25_42_DataLog_0.parquet,train
20240423_17_22_03_segment_0,Anomaly_Source_Test,belt,spd2400,BckgF,imp23absu_mic_20240423_17_22_03_DataLog_0.parquet,ism330dhcx_acc_20240423_17_22_03_DataLog_0.parquet,ism330dhcx_gyro_20240423_17_22_03_DataLog_0.parquet,train
20240423_16_58_11_segment_0,Anomaly_Target_Test,belt,spd1300,BckgB,imp23absu_mic_20240423_16_58_11_DataLog_0.parquet,ism330dhcx_acc_20240423_16_58_11_DataLog_0.parquet,ism330dhcx_gyro_20240423_16_58_11_DataLog_0.parquet,train
20240423_17_55_40_segment_0,Anomaly_Source_Test,magnetic,spd1500,BckgD,imp23absu_mic_20240423_17_55_40_DataLog_0.parquet,ism330dhcx_acc_20240423_17_55_40_DataLog_0.parquet,ism330dhcx_gyro_20240423_17_55_40_DataLog_0.parquet,train
20240423_18_13_08_segment_0,Anomaly_Source_Test,magnetic,spd2000,BckgD,imp23absu_mic_20240423_18_13_08_DataLog_0.parquet,ism330dhcx_acc_20240423_18_13_08_DataLog_0.parquet,ism330dhcx_gyro_20240423_18_13_08_DataLog_0.parquet,train
20240423_14_44_40_segment_0,Normal_Source_Test,normal,spd1900,BckgC,imp23absu_mic_20240423_14_44_40_DataLog_0.parquet,ism330dhcx_acc_20240423_14_44_40_DataLog_0.parquet,ism330dhcx_gyro_20240423_14_44_40_DataLog_0.parquet,train
20240423_17_03_07_segment_0,Anomaly_Source_Test,belt,spd1500,BckgA,imp23absu_mic_20240423_17_03_07_DataLog_0.parquet,ism330dhcx_acc_20240423_17_03_07_DataLog_0.parquet,ism330dhcx_gyro_20240423_17_03_07_DataLog_0.parquet,train
20240423_10_48_48_segment_0,Normal_Target_Test,normal,spd1100,BckgE,imp23absu_mic_20240423_10_48_48_DataLog_0.parquet,ism330dhcx_acc_20240423_10_48_48_DataLog_0.parquet,ism330dhcx_gyro_20240423_10_48_48_DataLog_0.parquet,train
20240423_16_49_05_segment_0,Anomaly_Target_Test,belt,spd1000,BckgE,imp23absu_mic_20240423_16_49_05_DataLog_0.parquet,ism330dhcx_acc_20240423_16_49_05_DataLog_0.parquet,ism330dhcx_gyro_20240423_16_49_05_DataLog_0.parquet,train
20240423_16_49_54_segment_0,Anomaly_Target_Test,belt,spd1000,BckgG,imp23absu_mic_20240423_16_49_54_DataLog_0.parquet,ism330dhcx_acc_20240423_16_49_54_DataLog_0.parquet,ism330dhcx_gyro_20240423_16_49_54_DataLog_0.parquet,train
20240423_12_13_05_segment_0,Normal_Target_Test,normal,spd1400,BckgB,imp23absu_mic_20240423_12_13_05_DataLog_0.parquet,ism330dhcx_acc_20240423_12_13_05_DataLog_0.parquet,ism330dhcx_gyro_20240423_12_13_05_DataLog_0.parquet,train
20240423_17_14_29_segment_0,Anomaly_Source_Test,belt,spd1900,BckgA,imp23absu_mic_20240423_17_14_29_DataLog_0.parquet,ism330dhcx_acc_20240423_17_14_29_DataLog_0.parquet,ism330dhcx_gyro_20240423_17_14_29_DataLog_0.parquet,train
20240423_16_52_50_segment_0,Anomaly_Target_Test,belt,spd1100,BckgG,imp23absu_mic_20240423_16_52_50_DataLog_0.parquet,ism330dhcx_acc_20240423_16_52_50_DataLog_0.parquet,ism330dhcx_gyro_20240423_16_52_50_DataLog_0.parquet,train
20240423_16_58_31_segment_0,Anomaly_Target_Test,belt,spd1300,BckgE,imp23absu_mic_20240423_16_58_31_DataLog_0.parquet,ism330dhcx_acc_20240423_16_58_31_DataLog_0.parquet,ism330dhcx_gyro_20240423_16_58_31_DataLog_0.parquet,train
20240423_14_01_28_segment_0,Normal_Source_Test,normal,spd1800,BckgA,imp23absu_mic_20240423_14_01_28_DataLog_0.parquet,ism330dhcx_acc_20240423_14_01_28_DataLog_0.parquet,ism330dhcx_gyro_20240423_14_01_28_DataLog_0.parquet,val
20240423_11_01_59_segment_0,Normal_Target_Test,normal,spd1100,BckgE,imp23absu_mic_20240423_11_01_59_DataLog_0.parquet,ism330dhcx_acc_20240423_11_01_59_DataLog_0.parquet,ism330dhcx_gyro_20240423_11_01_59_DataLog_0.parquet,val
20240423_15_23_46_segment_0,Normal_Source_Test,normal,spd2400,BckgF,imp23absu_mic_20240423_15_23_46_DataLog_0.parquet,ism330dhcx_acc_20240423_15_23_46_DataLog_0.parquet,ism330dhcx_gyro_20240423_15_23_46_DataLog_0.parquet,val
20240423_10_50_48_segment_0,Normal_Target_Test,normal,spd1100,BckgG,imp23absu_mic_20240423_10_50_48_DataLog_0.parquet,ism330dhcx_acc_20240423_10_50_48_DataLog_0.parquet,ism330dhcx_gyro_20240423_10_50_48_DataLog_0.parquet,val
20240423_17_10_11_segment_0,Anomaly_Source_Test,belt,spd1700,BckgF,imp23absu_mic_20240423_17_10_11_DataLog_0.parquet,ism330dhcx_acc_20240423_17_10_11_DataLog_0.parquet,ism330dhcx_gyro_20240423_17_10_11_DataLog_0.parquet,val
20240423_17_32_54_segment_0,Anomaly_Source_Test,belt,spd3000,BckgF,imp23absu_mic_20240423_17_32_54_DataLog_0.parquet,ism330dhcx_acc_20240423_17_32_54_DataLog_0.parquet,ism330dhcx_gyro_20240423_17_32_54_DataLog_0.parquet,val
20240423_17_19_31_segment_0,Anomaly_Source_Test,belt,spd2000,BckgC,imp23absu_mic_20240423_17_19_31_DataLog_0.parquet,ism330dhcx_acc_20240423_17_19_31_DataLog_0.parquet,ism330dhcx_gyro_20240423_17_19_31_DataLog_0.parquet,val
20240423_17_07_30_segment_0,Anomaly_Source_Test,belt,spd1600,BckgF,imp23absu_mic_20240423_17_07_30_DataLog_0.parquet,ism330dhcx_acc_20240423_17_07_30_DataLog_0.parquet,ism330dhcx_gyro_20240423_17_07_30_DataLog_0.parquet,val
20240423_17_03_56_segment_0,Anomaly_Source_Test,belt,spd1500,BckgF,imp23absu_mic_20240423_17_03_56_DataLog_0.parquet,ism330dhcx_acc_20240423_17_03_56_DataLog_0.parquet,ism330dhcx_gyro_20240423_17_03_56_DataLog_0.parquet,val
20240423_17_53_22_segment_0,Anomaly_Target_Test,magnetic,spd1400,BckgE,imp23absu_mic_20240423_17_53_22_DataLog_0.parquet,ism330dhcx_acc_20240423_17_53_22_DataLog_0.parquet,ism330dhcx_gyro_20240423_17_53_22_DataLog_0.parquet,val
20240423_18_03_18_segment_0,Anomaly_Source_Test,magnetic,spd1700,BckgD,imp23absu_mic_20240423_18_03_18_DataLog_0.parquet,ism330dhcx_acc_20240423_18_03_18_DataLog_0.parquet,ism330dhcx_gyro_20240423_18_03_18_DataLog_0.parquet,val
20240423_16_57_32_segment_0,Anomaly_Target_Test,belt,spd1300,BckgB,imp23absu_mic_20240423_16_57_32_DataLog_0.parquet,ism330dhcx_acc_20240423_16_57_32_DataLog_0.parquet,ism330dhcx_gyro_20240423_16_57_32_DataLog_0.parquet,val
20240423_14_32_16_segment_0,Normal_Source_Test,normal,spd1900,BckgD,imp23absu_mic_20240423_14_32_16_DataLog_0.parquet,ism330dhcx_acc_20240423_14_32_16_DataLog_0.parquet,ism330dhcx_gyro_20240423_14_32_16_DataLog_0.parquet,val
20240423_10_45_38_segment_0,Normal_Target_Test,normal,spd1100,BckgG,imp23absu_mic_20240423_10_45_38_DataLog_0.parquet,ism330dhcx_acc_20240423_10_45_38_DataLog_0.parquet,ism330dhcx_gyro_20240423_10_45_38_DataLog_0.parquet,val
20240423_10_39_08_segment_0,Normal_Target_Test,normal,spd1000,BckgG,imp23absu_mic_20240423_10_39_08_DataLog_0.parquet,ism330dhcx_acc_20240423_10_39_08_DataLog_0.parquet,ism330dhcx_gyro_20240423_10_39_08_DataLog_0.parquet,val
20240423_16_54_42_segment_0,Anomaly_Target_Test,belt,spd1200,BckgB,imp23absu_mic_20240423_16_54_42_DataLog_0.parquet,ism330dhcx_acc_20240423_16_54_42_DataLog_0.parquet,ism330dhcx_gyro_20240423_16_54_42_DataLog_0.parquet,val
20240423_17_53_13_segment_0,Anomaly_Target_Test,magnetic,spd1400,BckgG,imp23absu_mic_20240423_17_53_13_DataLog_0.parquet,ism330dhcx_acc_20240423_17_53_13_DataLog_0.parquet,ism330dhcx_gyro_20240423_17_53_13_DataLog_0.parquet,val
20240423_18_07_56_segment_0,Anomaly_Source_Test,magnetic,spd1900,BckgC,imp23absu_mic_20240423_18_07_56_DataLog_0.parquet,ism330dhcx_acc_20240423_18_07_56_DataLog_0.parquet,ism330dhcx_gyro_20240423_18_07_56_DataLog_0.parquet,val
20240423_11_42_46_segment_0,Normal_Target_Test,normal,spd1300,BckgG,imp23absu_mic_20240423_11_42_46_DataLog_0.parquet,ism330dhcx_acc_20240423_11_42_46_DataLog_0.parquet,ism330dhcx_gyro_20240423_11_42_46_DataLog_0.parquet,val
20240423_17_40_59_segment_0,Anomaly_Target_Test,magnetic,spd1100,BckgB,imp23absu_mic_20240423_17_40_59_DataLog_0.parquet,ism330dhcx_acc_20240423_17_40_59_DataLog_0.parquet,ism330dhcx_gyro_20240423_17_40_59_DataLog_0.parquet,val
20240423_17_50_04_segment_0,Anomaly_Target_Test,magnetic,spd1300,BckgB,imp23absu_mic_20240423_17_50_04_DataLog_0.parquet,ism330dhcx_acc_20240423_17_50_04_DataLog_0.parquet,ism330dhcx_gyro_20240423_17_50_04_DataLog_0.parquet,val
